mr,nl.utterance,informativeness,naturalness,phrasing,attr.count,batch,mr.id,min.length,near,reqs,reqs2,utterance.length,no.Of.Sentences,len.Ratio,coll.channel,coll.country,coll.region,col.city,col.inform,col.natur,col.phrasing,eval.inform,eval.natur,eval.phrasing,sem.coverage,norm.sem.coverage,sem.coverage.factor,coll.task.duration
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",Wildwood is a restaurant located centrally that is family friendly.,3,3,2,3,pic,1,27,,Wildwood,NA,67,1,2.4815,inboxpounds,GBR,H9,London,good,good,good,average,average,bad,1,6,good,180
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",Wildwood is a restaurant that provide family service.,3,2,4,3,pic,1,27,,Wildwood,NA,53,1,1.963,bitcoinget,USA,CA,San Jose,average,average,good,average,bad,good,0.67,4,good,420
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",There is a restaurant in the centre of town called Wildwood that can accommodate family dining.,5,6,6,3,pic,1,27,,Wildwood,NA,95,1,3.5185,inboxpounds,GBR,H9,London,bad,bad,bad,good,good,good,0.67,4,good,180
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",There's a Restaurant that provides family service called Wildwood.,4,5,3,3,pic,1,27,,Wildwood,NA,66,1,2.4444,bitcoinget,USA,CA,San Jose,good,good,average,good,good,average,0.67,4,good,420
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",There is a family friendly restaurant in the centre of town called Wildwood.,3,3,3,3,pic,1,27,,Wildwood,NA,76,1,2.8148,inboxpounds,GBR,H9,London,average,average,average,average,average,average,1,6,good,180
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",Wildwood is a family service restaurant.,3,4,5,3,pic,1,27,,Wildwood,NA,40,1,1.4815,bitcoinget,USA,CA,San Jose,bad,bad,bad,average,good,good,0.67,4,good,420
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",Wildwood is a family friendly restaurant.,3,6,4,3,txt,1,27,,Wildwood,NA,41,1,1.5185,prodege,GBR,T5,Aberdeen,good,good,good,average,good,good,1,6,good,420
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",Wildwood is a restaurant where you can go with the whole family.,3,6,5,3,txt,1,27,,Wildwood,NA,64,1,2.3704,neodev,USA,CA,San Jose,good,good,bad,average,good,good,0.67,4,good,1140
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",Wildwood family friendly restaurant.,3,5,5,3,txt,1,27,,Wildwood,NA,36,1,1.3333,inboxpounds,GBR,J8,Nottingham,,good,bad,average,good,good,1,6,good,180
"name[Wildwood], eatType[restaurant], familyFriendly[yes].",Wildwood restaurant is family friendly.,3,6,6,3,txt,1,27,,Wildwood,NA,39,1,1.4444,prodege,GBR,T5,Aberdeen,average,average,average,average,good,good,1,6,good,420
